"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.14","0.02","0.24"
"200000","0.225","0.06","0.48"
"300000","0.3025","0.16","0.48"
"400000","0.2875","0.1","0.5"
"500000","0.3925","0.14","0.58"
"600000","0.38250000000000006","0.24","0.58"
"700000","0.4057142857142857","0.28","0.54"
"800000","0.28285714285714286","0.2","0.42"
"900000","0.38285714285714295","0.24","0.66"
"1000000","0.4171428571428571","0.3","0.58"
