"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.5225000000000001","0.14","0.96"
"200000","0.9099999999999999","0.68","1"
"300000","0.8675","0.62","0.98"
"400000","0.9375","0.76","1"
"500000","0.9175","0.76","0.98"
"600000","0.925","0.82","0.98"
"700000","0.9199999999999999","0.82","1"
"800000","0.9125","0.82","0.96"
"900000","0.935","0.66","1"
"1000000","0.9124999999999999","0.78","0.98"
