"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.0025","0","0.02"
"400000","0.0225","0","0.12"
"500000","0.11250000000000002","0","0.42"
"600000","0.1475","0.02","0.42"
"700000","0.3","0.12","0.58"
"800000","0.4375","0.16","0.54"
"900000","0.5075000000000001","0.12","0.88"
"1000000","0.4375","0.16","0.66"
