"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.305","0.04","0.64"
"200000","0.45","0.14","0.74"
"300000","0.62","0.16","0.92"
"400000","0.5025000000000001","0.28","0.92"
"500000","0.6025","0.26","0.92"
"600000","0.5750000000000001","0.36","0.78"
"700000","0.53","0.26","0.94"
"800000","0.5499999999999999","0.3","0.92"
"900000","0.6249999999999999","0.3","0.92"
"1000000","0.5325","0.26","0.92"
