"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.36250000000000004","0.08","0.92"
"200000","0.5625","0.16","0.98"
"300000","0.4700000000000001","0.02","0.66"
"400000","0.575","0.2","0.96"
"500000","0.53","0.28","0.78"
"600000","0.6","0.18","0.82"
"700000","0.42500000000000004","0.1","0.66"
"800000","0.645","0.46","0.78"
"900000","0.45999999999999996","0.24","0.76"
"1000000","0.63","0.4","0.94"
