"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.0075","0","0.04"
"400000","0.030000000000000002","0","0.06"
"500000","0.0675","0","0.3"
"600000","0.24750000000000003","0.08","0.48"
"700000","0.38750000000000007","0.1","0.68"
"800000","0.4275","0.12","0.68"
"900000","0.43000000000000005","0.2","0.86"
"1000000","0.44499999999999995","0.28","0.6"
