"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.26249999999999996","0","0.44"
"200000","0.3275","0.18","0.52"
"300000","0.41500000000000004","0.14","0.56"
"400000","0.5925","0.2","0.82"
"500000","0.5825","0.38","0.76"
"600000","0.5725","0.3","0.8"
"700000","0.685","0.52","0.9"
"800000","0.6675","0.4","0.88"
"900000","0.7424999999999999","0.6","0.86"
"1000000","0.7575000000000001","0.64","0.92"
