Step,env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success,env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN,env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX
100000,0.02,0,0.06
200000,0.08750000000000001,0.02,0.16
300000,0.1475,0.1,0.18
400000,0.2,0.1,0.36
500000,0.20999999999999996,0.12,0.32
600000,0.365,0.2,0.58
700000,0.30500000000000005,0.2,0.42
800000,0.39249999999999996,0.32,0.52
900000,0.35250000000000004,0.24,0.46
1000000,0.3875,0.32,0.54
