"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0125","0","0.04"
"200000","0.057499999999999996","0","0.1"
"300000","0.2875","0.22","0.4"
"400000","0.4875","0.34","0.72"
"500000","0.6449999999999999","0.54","0.78"
"600000","0.7325","0.6","0.86"
"700000","0.7125","0.64","0.78"
"800000","0.6975000000000001","0.5","0.84"
"900000","0.715","0.64","0.82"
"1000000","0.7450000000000001","0.6","0.86"
