"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8775","0.78","0.96"
"200000","0.9550000000000001","0.92","0.98"
"300000","0.9875","0.94","1"
"400000","0.98","0.94","1"
"500000","0.9750000000000001","0.9","1"
"600000","0.9675","0.9","1"
"700000","0.9775","0.92","1"
"800000","0.98","0.96","1"
"900000","0.98","0.96","1"
"1000000","0.9824999999999999","0.96","1"
