"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.0025","0","0.02"
"400000","0.017499999999999998","0","0.06"
"500000","0.0375","0","0.1"
"600000","0.0375","0","0.08"
"700000","0.0575","0.02","0.08"
"800000","0.065","0.02","0.14"
"900000","0.0625","0","0.12"
"1000000","0.07250000000000001","0.02","0.2"
