"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0","0","0"
"400000","0.02333333333333333","0","0.04"
"500000","0.013333333333333334","0","0.04"
"600000","0.043333333333333335","0","0.1"
"700000","0.09333333333333334","0.02","0.22"
"800000","0.03666666666666667","0","0.08"
"900000","0.08","0.02","0.16"
"1000000","0.11333333333333334","0.06","0.22"
