"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.005","0","0.02"
"300000","0.1","0.02","0.22"
"400000","0.1275","0.04","0.36"
"500000","0.15750000000000003","0","0.4"
"600000","0.1925","0","0.54"
"700000","0.28750000000000003","0.02","0.62"
"800000","0.3625","0.16","0.62"
"900000","0.465","0.14","0.66"
"1000000","0.41500000000000004","0.02","0.76"
