"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.07250000000000001","0.02","0.16"
"200000","0.1","0.02","0.34"
"300000","0.13","0.02","0.28"
"400000","0.07749999999999999","0.04","0.14"
"500000","0.095","0","0.18"
"600000","0.1275","0.02","0.28"
"700000","0.10999999999999999","0.06","0.22"
"800000","0.1225","0.06","0.2"
"900000","0.14","0.08","0.32"
"1000000","0.15500000000000003","0.06","0.24"
