"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.035","0","0.1"
"200000","0.1225","0.02","0.4"
"300000","0.0925","0.04","0.14"
"400000","0.08249999999999999","0.02","0.16"
"500000","0.09","0.02","0.26"
"600000","0.1025","0.04","0.22"
"700000","0.10749999999999998","0.02","0.22"
"800000","0.1","0.02","0.28"
"900000","0.09250000000000001","0.02","0.24"
"1000000","0.135","0.04","0.22"
