"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.6124999999999999","0.4","0.82"
"200000","0.9299999999999999","0.82","0.98"
"300000","0.875","0.54","1"
"400000","0.9299999999999999","0.86","0.96"
"500000","0.9299999999999998","0.76","1"
"600000","0.885","0.74","1"
"700000","0.895","0.7","1"
"800000","0.8949999999999999","0.68","1"
"900000","0.9225000000000001","0.8","1"
"1000000","0.8825","0.7","0.98"
