"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.275","0.2","0.36"
"200000","0.21","0.12","0.28"
"300000","0.21000000000000002","0.08","0.34"
"400000","0.4650000000000001","0.28","0.64"
"500000","0.35","0.08","0.68"
"600000","0.575","0.42","0.72"
"700000","0.5349999999999999","0.26","0.72"
"800000","0.6950000000000001","0.58","0.8"
"900000","0.645","0.48","0.74"
"1000000","0.645","0.48","0.74"
