"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.06","0.04","0.12"
"200000","0.13999999999999999","0.04","0.24"
"300000","0.22000000000000003","0.18","0.28"
"400000","0.20500000000000002","0.14","0.28"
"500000","0.17500000000000002","0.14","0.2"
"600000","0.255","0.2","0.38"
"700000","0.235","0.2","0.28"
"800000","0.185","0.12","0.26"
"900000","0.225","0.12","0.34"
"1000000","0.225","0.08","0.34"
