"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0022222222222222222","0","0.02"
"200000","0.013333333333333334","0","0.06"
"300000","0.14222222222222225","0","0.3"
"400000","0.31555555555555553","0.14","0.6"
"500000","0.46444444444444444","0.26","0.6"
"600000","0.48444444444444446","0.28","0.56"
"700000","0.48222222222222233","0.34","0.64"
"800000","0.4977777777777778","0.38","0.6"
"900000","0.5288888888888889","0.28","0.7"
"1000000","0.5977777777777777","0.24","0.8"
