"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.5850000000000001","0.5","0.66"
"200000","0.64","0.5","0.78"
"300000","0.675","0.54","0.88"
"400000","0.79","0.72","0.84"
"500000","0.7250000000000001","0.66","0.9"
"600000","0.8","0.78","0.84"
"700000","0.8350000000000001","0.76","0.9"
"800000","0.79","0.74","0.84"
"900000","0.7999999999999999","0.7","0.86"
"1000000","0.815","0.78","0.88"
