"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0","0","0"
"400000","0","0","0"
"500000","0.005","0","0.02"
"600000","0.005","0","0.02"
"700000","0.005","0","0.02"
"800000","0.01","0","0.04"
"900000","0.030000000000000002","0","0.06"
"1000000","0.005","0","0.02"
