"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.02"
"300000","0.01","0","0.02"
"400000","0.005","0","0.02"
"500000","0.035","0","0.06"
"600000","0.06","0.02","0.12"
"700000","0.04","0","0.08"
"800000","0.034999999999999996","0","0.06"
"900000","0.17","0","0.36"
"1000000","0.2","0","0.32"
