"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.02","0","0.08"
"200000","0.022222222222222223","0","0.04"
"300000","0.026666666666666665","0","0.04"
"400000","0.03777777777777778","0","0.12"
"500000","0.04888888888888889","0","0.1"
"600000","0.04","0","0.12"
"700000","0.0488888888888889","0.02","0.14"
"800000","0.031111111111111107","0","0.08"
"900000","0.04","0","0.14"
"1000000","0.044444444444444446","0","0.16"
