"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.025","0","0.04"
"200000","0.035","0","0.1"
"300000","0.065","0","0.16"
"400000","0.05499999999999999","0.02","0.08"
"500000","0.055","0.02","0.12"
"600000","0.11","0.02","0.18"
"700000","0.10500000000000001","0.02","0.16"
"800000","0.12","0.02","0.24"
"900000","0.22000000000000003","0.1","0.32"
"1000000","0.11499999999999999","0.08","0.16"
