"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.125","0","0.2"
"200000","0.2625","0.06","0.4"
"300000","0.215","0.06","0.36"
"400000","0.36500000000000005","0.18","0.54"
"500000","0.39","0.08","0.68"
"600000","0.43000000000000005","0.22","0.66"
"700000","0.45749999999999996","0.3","0.62"
"800000","0.5750000000000002","0.26","0.76"
"900000","0.5675","0.38","0.74"
"1000000","0.6575","0.44","0.8"
