"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8725000000000002","0.8","0.96"
"200000","0.97","0.94","1"
"300000","0.9925000000000002","0.98","1"
"400000","0.9924999999999999","0.96","1"
"500000","0.9924999999999999","0.98","1"
"600000","0.9824999999999999","0.96","1"
"700000","0.99","0.96","1"
"800000","0.9825000000000002","0.96","1"
"900000","0.99","0.96","1"
"1000000","0.9875","0.96","1"
