"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.030000000000000002","0","0.1"
"200000","0.05500000000000001","0","0.1"
"300000","0.115","0.04","0.28"
"400000","0.14750000000000002","0.04","0.24"
"500000","0.18","0.06","0.3"
"600000","0.16999999999999998","0.1","0.24"
"700000","0.2075","0.06","0.36"
"800000","0.1875","0","0.32"
"900000","0.225","0","0.46"
"1000000","0.15","0","0.28"
