"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.045000000000000005","0","0.1"
"200000","0.027499999999999997","0","0.06"
"300000","0.0425","0.02","0.06"
"400000","0.0575","0","0.12"
"500000","0.04750000000000001","0.02","0.1"
"600000","0.07142857142857142","0.06","0.1"
"700000","0.07333333333333335","0.02","0.14"
"800000","0.05600000000000001","0.02","0.1"
"900000","0.06000000000000001","0.04","0.1"
"1000000","0.035","0","0.1"
