"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.115","0.02","0.22"
"200000","0.12","0","0.22"
"300000","0.2","0.14","0.32"
"400000","0.20249999999999999","0.12","0.34"
"500000","0.2125","0.12","0.32"
"600000","0.19500000000000003","0.1","0.3"
"700000","0.215","0.08","0.34"
"800000","0.22749999999999998","0.14","0.3"
"900000","0.265","0.16","0.34"
"1000000","0.2725","0.16","0.46"
