"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.6625000000000001","0.16","0.98"
"200000","0.95","0.88","1"
"300000","0.895","0.68","1"
"400000","0.95","0.88","1"
"500000","0.9275000000000001","0.78","1"
"600000","0.9149999999999999","0.76","1"
"700000","0.9750000000000001","0.92","1"
"800000","0.8875","0.6","0.98"
"900000","0.9275","0.62","1"
"1000000","0.91","0.64","1"
