"Step","env_name: scene-play-singletask-v0 - evaluation/success","env_name: scene-play-singletask-v0 - evaluation/success__MIN","env_name: scene-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8914285714285715","0.82","0.98"
"200000","0.9342857142857142","0.86","1"
"300000","0.9771428571428571","0.92","1"
"400000","0.982857142857143","0.96","1"
"500000","0.9914285714285714","0.96","1"
"600000","0.9942857142857143","0.98","1"
"700000","0.9771428571428571","0.88","1"
"800000","0.9600000000000001","0.8","1"
"900000","0.9714285714285714","0.86","1"
"1000000","0.9714285714285713","0.92","1"
